PRC;X;Y;WKT;EPSG;;
ELCELE__EWOWINE001DKB;0;0;;25832;MULTIPOLYGON (((887449.9189 6116868.0258, 887630.6157 6116870.0344, 887630.9026 6116853.8943, 887694.7455 6116854.9703, 887694.6738 6116862.6458, 887714.9026 6116863.0762, 887714.9744 6116855.2573, 887795.316 6116855.9029, 887795.4594 6116848.2274, 887814.971 6116848.4426, 887794.3476 6116518.6117, 887430.1563 6116514.9891, 887449.9189 6116868.0258)));
ELCELE__EWOWINE002DKB;0;0;;25832;;
ELCELE__EWOWINE003DKB;0;0;;25832;;
ELCELE__EWOWINE004DKB;0;0;POINT(868490.05 6134046.06);25832;POINT(868490.05 6134046.06);
ELCELE__EWOWINE005DKB;869314,34;6126281,78;MULTIPOLYGON (((875516.5598 6117628.0429, 875497.2993 6117850.8474, 875577.7126 6117841.5937, 875577.067 6117833.99, 875618.1704 6117829.2556, 875617.8117 6117821.5083, 875659.1302 6117816.9891, 875658.915 6117809.0267, 875679.4308 6117806.8747, 875682.3002 6117774.9532, 875689.5453 6117774.0924, 875727.1336 6117769.9319, 875727.7792 6117777.3922, 875768.1652 6117772.873, 875767.4479 6117765.2692, 875789.3984 6117762.6868, 875790.044 6117754.7244, 875789.2549 6117747.1206, 875810.8467 6117744.6099, 875810.1294 6117736.9345, 875871.0312 6117729.9046, 875875.8373 6117730.9806, 875915.9364 6117726.569, 875915.2549 6117718.7141, 875956.7886 6117714.1232, 875956.5017 6117705.9456, 875997.2464 6117702.2154, 876007.7912 6117571.3734, 875516.5598 6117628.0429)), ((875837.6033 6117949.3375, 875897.8864 6117942.5946, 875897.6712 6117940.8012, 875943.7242 6117935.493, 875942.9351 6117927.9609, 875982.0299 6117923.2265, 875980.9539 6117915.6228, 876000.2502 6117913.5425, 875999.2459 6117905.9387, 876038.5559 6117901.276, 876037.7489 6117893.5109, 876076.9334 6117889.0096, 876045.9086 6117734.4238, 876005.5585 6117738.9789, 876006.3117 6117746.7978, 875967.2169 6117751.1018, 875967.7908 6117758.8491, 875948.6738 6117761.0728, 875949.427 6117768.8559, 875910.2246 6117773.3034, 875911.0495 6117781.0147, 875871.5961 6117785.5339, 875875.9718 6117808.4887, 875810.0487 6117816.3076, 875837.6033 6117949.3375)));25832;869201,84;6126511,05
ELCELE__EWOWINE006DKB;0;0;MULTIPOLYGON (((887449.9189 6116868.0258, 887630.6157 6116870.0344, 887630.9026 6116853.8943, 887694.7455 6116854.9703, 887694.6738 6116862.6458, 887714.9026 6116863.0762, 887714.9744 6116855.2573, 887795.316 6116855.9029, 887795.4594 6116848.2274, 887814.971 6116848.4426, 887794.3476 6116518.6117, 887430.1563 6116514.9891, 887449.9189 6116868.0258)));25832;869314,34;6126281,78
ELCELE__EWOWINE007DKB;0;0;;25832;;
ELCELE__EWOWINE011DKB;885914,7;6115902,21;;25832;;
ELCELE__EWOWINE012DKB;886062,18;6115987,42;;25832;;
ELCELE__EWOWINE013DKB;886209,57;6116072,54;;25832;;
ELCELE__EWOWINE014DKB;866874,06;6134399,36;;25832;;
ELCELE__EWOWINE015DKB;0;0;;25832;;
ELCELE__EWOWINE016DKB;864769,63;6133654,2;;25832;;
ELCELE__EWOWINE017DKB;867150,88;6134656,03;;25832;;
ELCELE__EWOWINE018DKB;886442,88;6117707,47;;25832;;
